Democratic	Great Britain	Percy Bysshe Shelley	Poems
Democratic	Great Britain	Percy Bysshe Shelley	A Defence of Poetry
Democratic	Great Britain	Mary Wollstonecraft Shelley	Frankenstein
Democratic	Great Britain	John Clare	Poems
Democratic	Great Britain	John Keats	Poems and Letters
Democratic	Great Britain	Thomas Lovell Beddoes	Death's Jest-Book
Democratic	Great Britain	Thomas Lovell Beddoes	Poems
Democratic	Great Britain	George Darley	Nepenthe
Democratic	Great Britain	George Darley	Poems
Democratic	Great Britain	Thomas Hood	Poems
Democratic	Great Britain	Thomas Wade	Poems
Democratic	Great Britain	Robert Browning	Poems
Democratic	Great Britain	Robert Browning	The Ring and the Book
Democratic	Great Britain	Charles Dickens	The Posthumous Papers of the Pickwick Club
Democratic	Great Britain	Charles Dickens	David Copperfield
Democratic	Great Britain	Charles Dickens	The Adventures of Oliver Twist
Democratic	Great Britain	Charles Dickens	A Tale of Two Cities
Democratic	Great Britain	Charles Dickens	Bleak House
Democratic	Great Britain	Charles Dickens	Hard Times
Democratic	Great Britain	Charles Dickens	Nicholas Nickleby
Democratic	Great Britain	Charles Dickens	Dombey and Son
Democratic	Great Britain	Charles Dickens	Great Expectations
Democratic	Great Britain	Charles Dickens	Martin Chuzzlewit
Democratic	Great Britain	Charles Dickens	Christmas Stories
